data,competitor,name,group,weight,price,price_old,discount,insert,otzyvy,lock,article
2024-03-17,Золотая Борть,мед башкирский с маточным молочком для здоровья и молодости,,130.0,518,546,0.95,традиционный,16.0,медовый; Липовый; сладкий,97714608
2024-03-17,Мёд семьи Мамдеевых,гречишный мёд с кедровой живицей,,700.0,458,483,0.95,натуральный; Набор с медом; Башкирский Мед,91.0,ягодный; медовый; Сладкий без сахара,177380943
2024-03-17,Карат Мёда,башкирский липовый мед ,,350.0,374,394,0.95,горный; луговой; разнотравный,43.0,Мятный цветочный; медовый; сладкий,146657558
2024-03-17,Дикий Мед,"медовая смесь №2 ""детокс"" премиум из башкирии 200 гр /эко/ ""дикий мед""",,200.0,660,695,0.95,,2.0,,34311660
2024-03-17,нет бренда,башкирский бортевой бурзянский мёд / стекло,,280.0,960,1011,0.95,Бортевой,3.0,,141546501
2024-03-17,нет бренда,башкирский бортевой бурзянский мёд в сотах / стекло,,130.0,785,827,0.95,,8.0,,141548551
2024-03-17,Золотая Борть,мёд для мужчин натуральный с семенами тыквы и прополисом,,130.0,488,514,0.95,традиционный,16.0,мёд; тыква; прополис,98025443
2024-03-17,вековая пасека,"царский мед натуральный, выдержанный",,,654,689,0.95,традиционный; густой; выдержанный,156.0,ароматные травы,153363245
2024-03-17,PREMIOD,"мёд натуральный липовый башкирский 350 гр, мед традиционный цветочный, в подарок",,350.0,325,343,0.95,луговой; липовый натуральный; разнотравный,8.0,медовый; Приятный вкус без терпкости,36094666
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие, витаминная бомба",,1700.0,680,716,0.95,натуральный; Набор с медом; Башкирский Мед,7566.0,ягодный; медовый; Сладкий без сахара,177380957
2024-03-17,Bashpodarki,подарочный набор меда,,225.0,366,386,0.95,,547.0,ассорти; насыщенный; вкусный,147126431
2024-03-17,Башкирская Медовня,мёд натуральный цветочный 500 грамм,,500.0,286,302,0.95,традиционный,380.0,цветочный,163808178
2024-03-17,Башкирский аромат,мед донниковый в подарочной банке,,400.0,435,458,0.95,монофлерный; традиционный,12.0,с легким ванильным привкусом; Сладкий без сахара; нежный,151927809
2024-03-17,Ура! Подарки!,мёд в сотах из башкирии,,,404,426,0.95,пчелиный; сотовый; натуральный,2.0,Уникальный; целебный; мягкий,215199333
2024-03-17,Башкирская Медовня,мёд натуральный липовый 550 грамм,,550.0,450,474,0.95,Липовый Горный Башкирский Мед,79.0,цветочный,89148849
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие стронг, двойное мумиё",,700.0,453,477,0.95,горный; луговой; разнотравный,733.0,ягодный; натуральный; сладкий медовый,85676543
2024-03-17,Ура! Подарки!,мёд в сотах из башкирии (малый),,,316,333,0.95,пчелиный; сотовый; натуральный,2.0,Уникальный; целебный; мягкий,215200153
2024-03-17,Мед и Конфитюр,ассорти ореховое в меду 1000 гр.,,,779,820,0.95,традиционный,355.0,Насыщенный вкус и аромат; сладкий; без сахара,140110175
2024-03-17,Bashpodarki,башкирский настоящий мед подарок ,,460.0,471,496,0.95,традиционный; настоящий; башкирский,232.0,Терпкий аромат гречи; Насыщенный вкус и аромат; Нежный с цветочными и травяными нотами,42745469
2024-03-17,ЖИВОЙМЕД,башкирский мед липовый vtl,,500.0,1150,1211,0.95,традиционный; некупажированный,64.0,нежный; тонкий; изысканный,132454390
2024-03-17,ЖИВОЙМЕД,цельный липовый мед урожай 2021г. выдержка 2 года ** vtl,,160.0,699,736,0.95,Необработанный; Башкирский натуральный мед,72.0,Характерный Липовый; насыщенный; цветки липы,51186900
2024-03-17,Пасека Якупова Рината,башкирский цветочный лесной мед,,1400.0,599,631,0.95,вегетарианский; мёд натуральный; веганский,243.0,полезные сладости без сахара; постные продукты питания; мед органический цветочный лесной,93649639
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие, витаминная бомба",,450.0,313,330,0.95,натуральный; Набор с медом; Башкирский Мед,7566.0,ягодный; медовый; Сладкий без сахара,177380960
2024-03-17,МЕДОВЗ,мед липовый башкирский 1400 гр.,,1600.0,962,1013,0.95,традиционный; суфле; крем мед,190.0,сладкий; нежный; медовый,143679720
2024-03-17,Башкирская Медовня,мёд натуральный липовый 300 грамм,,300.0,309,326,0.95,Липовый Горный Башкирский Мед,79.0,цветочный,89152924
2024-03-17,Антон МедоВ,мёд расторопшевый натуральный 2.2 кг без сахара 2023 г.,,2200.0,767,808,0.95,полезные сладости; крем мед суфле; продукты питания,392.0,разнотравье; не горчит; ароматный,170944991
2024-03-17,ЖИВОЙМЕД,цельный башкирский мед с липы выдержанный vtl,,700.0,2933,3088,0.95,Натуральный мед; Липовый Горный Башкирский Мед,53.0,натуральный; тонкий аромат; благородный,34778672
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти , зож",,950.0,1483,1562,0.95,натуральный; Набор с медом; Башкирский Мед,119.0,ягодный; медовый; Сладкий без сахара,158384951
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие стронг, двойное мумиё",,1700.0,718,756,0.95,горный; луговой; разнотравный,733.0,ягодный; натуральный; сладкий медовый,85675417
2024-03-17,Башкирская Медовня,мёд натуральный башкирский подсолнечниковый 1000 грамм,,1000.0,365,385,0.95,Натуральный мед; Разнотравие; настоящий,380.0,цветочный; травяной,87420347
2024-03-17,Nurieff,подарочный набор мёда из 3х видов,,1400.0,916,965,0.95,традиционный,83.0,сладкий; медовый,192272287
2024-03-17,PREMIOD,"мёд натуральный липовый башкирский 500 гр, мед традиционный цветочный, в подарок",,500.0,345,364,0.95,луговой; липовый натуральный; разнотравный,19.0,медовый; Приятный вкус без терпкости,34271276
2024-03-17,Живой Мёд Башкирии,башкирский натуральный разнотравный мед 525 г.,,525.0,413,435,0.95,Натуральный мед; Башкирский Мед; Цветочный Разнотравный Горный Луговой Лесной,,С характерной горчинкой и приятным послевкусием.,47512376
2024-03-17,Золотая Борть,мёд лечебный натуральный с прополисом для сердца и сосудов,,130.0,474,499,0.95,мед крем; традиционный; мусс,16.0,медовый; Липовый; сладкий,98109824
2024-03-17,вековая пасека,натуральный мед с фундуком 250 гр,,250.0,357,376,0.95,цветочный мед; натуральный мед; мед с орехами,165.0,натуральный мед; мед и орехи,146715383
2024-03-17,Пчелиная Ферма,липовый мёд сбор 2023 1 кг. ,,1000.0,842,887,0.95,традиционный,319.0,Древесный; с горчинкой; камфора,99245295
2024-03-17,Bashpodarki,мед натуральный липовый набор,,225.0,366,386,0.95,традиционный,547.0,ассорти; насыщенный; вкусный,191769744
2024-03-17,Башкирские пасеки,мед порционный цветочный 20 шт х 10 г,,,288,304,0.95,мед; натуральный,5.0,,150749875
2024-03-17,Башкирская Медовня,мёд натуральный липовый 3000 грамм,,3000.0,1816,1912,0.95,Липовый Горный Башкирский Мед; Натуральный мед,151.0,Цветочные и фруктовые ноты; сладкие ноты,87639731
2024-03-17,Мед от Андрея Алексеева,"мед натуральный, цветочный",,,132,139,0.95,Натуральный мед,278.0,,73496068
2024-03-17,Пшадский мёд,мёд натуральный липовый без сахара,,1250.0,698,735,0.95,без сахара; настоящий; традиционный,110.0,липа; травяной; цветочный,193667343
2024-03-17,Мёд семьи Мамдеевых,"подарочный набор меда, ассорти медов",,600.0,1149,1210,0.95,натуральный; Набор с медом; Башкирский Мед,727.0,ягодный; сладкий; медовый,15027744
2024-03-17,Мёд семьи Мамдеевых,"мёд с мумие стронг, двойное мумиё",,1000.0,449,473,0.95,горный; луговой; разнотравный,733.0,ягодный; натуральный; сладкий медовый,153862482
2024-03-17,Башкирский гостинец. KUCHTENECH,башкирский мед липовый,,1045.0,1173,1235,0.95,монофлерный; Липовый Горный Башкирский Мед,186.0,Липовый мягкий; медовый; Сладкий / густой / натуральный,25400982
2024-03-17,Пасека Богданова,мёд башкирский цветочный,,1400.0,522,550,0.95,натуральный; лесной; башкирский,3.0,"цветочный; Яркий цветочно-травяной вкус; Не приторный, насыщенный",188581853
2024-03-17,Башкирская Медовня,мёд натуральный цветочный 300 грамм,,300.0,261,275,0.95,цветочный,79.0,цветочный,89151291
2024-03-17,Пасека Богданова,мёд башкирский цветочный,,,1243,1309,0.95,натуральный; лесной; башкирский,3.0,"цветочный; Яркий цветочно-травяной вкус; Не приторный, насыщенный",211668714
2024-03-17,Башкирская Медовня,мёд натуральный гречишный 1000 грамм,,1000.0,454,478,0.95,гречишный,380.0,медовый; детства; Пряный вкус и аромат,87388536
